Company,Role,Experience Level (Years),Salary (INR in LPA)
McKinsey,Data Analyst,5-7,10.6
Genpact,Business Analyst,7+,12.7
IBM,Financial Analyst,1-2,5.5
McKinsey,Marketing Analyst,5-7,9.1
PwC,Financial Analyst,5-7,10.3
Capgemini,Operations Analyst,7+,10.1
Genpact,Operations Analyst,0-1,3.8
ZS Associates,Business Analyst,5-7,11.5
McKinsey,Financial Analyst,1-2,5.5
HCL,Marketing Analyst,3-5,6.6
PwC,Marketing Analyst,5-7,9.4
Capgemini,Operations Analyst,3-5,6.7
PwC,Marketing Analyst,5-7,9.6
Wipro,Business Analyst,1-2,5.7
McKinsey,Financial Analyst,7+,12.3
PwC,Operations Analyst,5-7,8.6
Wipro,Operations Analyst,2-3,5.2
Deloitte,Data Analyst,5-7,9.8
IBM,Financial Analyst,0-1,4.5
TCS,Marketing Analyst,2-3,6.4
EY,Data Analyst,0-1,4.6
IBM,Data Analyst,3-5,8
ZS Associates,Financial Analyst,3-5,8.7
Accenture,Business Analyst,7+,12.5
Wipro,Financial Analyst,5-7,10.4
Infosys,Operations Analyst,1-2,5.6
McKinsey,Marketing Analyst,3-5,7.8
ZS Associates,Operations Analyst,3-5,6.8
Accenture,Marketing Analyst,3-5,7.4
TCS,Financial Analyst,5-7,10.8
KPMG,Operations Analyst,3-5,6.6
IBM,Marketing Analyst,7+,10.4
Accenture,Operations Analyst,1-2,4.8
ZS Associates,Financial Analyst,2-3,7.6
Accenture,Marketing Analyst,3-5,7.6
Accenture,Data Analyst,1-2,5.2
EY,Operations Analyst,0-1,4
HCL,Financial Analyst,5-7,11
Genpact,Business Analyst,7+,12.4
Wipro,Business Analyst,3-5,8.5
Accenture,Operations Analyst,7+,10.2
TCS,Marketing Analyst,3-5,7.3
Deloitte,Financial Analyst,7+,12.2
TCS,Financial Analyst,7+,12.5
Wipro,Operations Analyst,0-1,4.2
McKinsey,Data Analyst,0-1,3.5
TCS,Business Analyst,5-7,11.3
Accenture,Marketing Analyst,0-1,5.3
Capgemini,Marketing Analyst,0-1,4
ZS Associates,Financial Analyst,2-3,7.1
ZS Associates,Marketing Analyst,5-7,9.2
EY,Data Analyst,2-3,7.3
Wipro,Financial Analyst,7+,13.1
TCS,Data Analyst,0-1,4
Wipro,Operations Analyst,3-5,6.3
EY,Business Analyst,5-7,11.1
HCL,Business Analyst,5-7,11.2
TCS,Operations Analyst,0-1,3.7
Wipro,Marketing Analyst,2-3,5
PwC,Business Analyst,1-2,6.9
Capgemini,Business Analyst,7+,12.9
KPMG,Marketing Analyst,7+,11.5
Cognizant,Operations Analyst,1-2,5.8
KPMG,Data Analyst,7+,12.4
ZS Associates,Marketing Analyst,5-7,9
Accenture,Operations Analyst,5-7,8.1
KPMG,Operations Analyst,2-3,6.1
McKinsey,Data Analyst,2-3,6.8
Accenture,Financial Analyst,7+,12.5
Wipro,Operations Analyst,2-3,6.1
Infosys,Operations Analyst,0-1,4.8
McKinsey,Business Analyst,1-2,6.4
ZS Associates,Operations Analyst,5-7,10.3
KPMG,Business Analyst,3-5,8.4
Capgemini,Business Analyst,0-1,5.3
Capgemini,Marketing Analyst,1-2,5.4
ZS Associates,Financial Analyst,1-2,5.5
McKinsey,Operations Analyst,0-1,3.7
KPMG,Business Analyst,0-1,4.5
IBM,Marketing Analyst,2-3,5.7
Capgemini,Marketing Analyst,3-5,7.6
EY,Operations Analyst,2-3,6
McKinsey,Financial Analyst,5-7,10.1
HCL,Operations Analyst,1-2,4.8
HCL,Business Analyst,1-2,5.7
Wipro,Marketing Analyst,7+,11.2
Accenture,Business Analyst,5-7,11.8
IBM,Business Analyst,0-1,5.5
Infosys,Data Analyst,5-7,9.4
TCS,Marketing Analyst,3-5,8.7
IBM,Marketing Analyst,5-7,9.4
Infosys,Financial Analyst,5-7,10.3
Cognizant,Financial Analyst,3-5,8.9
Infosys,Business Analyst,5-7,11.2
Wipro,Data Analyst,1-2,6.4
McKinsey,Financial Analyst,1-2,5.4
IBM,Business Analyst,7+,12
HCL,Data Analyst,1-2,5.3
TCS,Business Analyst,3-5,9
TCS,Operations Analyst,3-5,7.1
Wipro,Operations Analyst,5-7,9.5
Capgemini,Operations Analyst,3-5,6.9
KPMG,Operations Analyst,0-1,3
Accenture,Marketing Analyst,1-2,4.9
Cognizant,Financial Analyst,1-2,6.3
Accenture,Marketing Analyst,3-5,7.1
IBM,Business Analyst,0-1,5.3
Wipro,Data Analyst,3-5,7.8
Infosys,Data Analyst,0-1,4.2
Deloitte,Business Analyst,3-5,8.5
Wipro,Operations Analyst,7+,10.7
ZS Associates,Operations Analyst,1-2,4.7
Accenture,Business Analyst,7+,12.8
Deloitte,Financial Analyst,1-2,4.9
Genpact,Operations Analyst,5-7,8.2
Infosys,Operations Analyst,0-1,4.9
Capgemini,Data Analyst,2-3,5.7
PwC,Financial Analyst,1-2,6.3
ZS Associates,Operations Analyst,3-5,6.6
HCL,Data Analyst,5-7,9.8
IBM,Business Analyst,3-5,7.9
HCL,Business Analyst,5-7,10.9
IBM,Business Analyst,3-5,7.9
Genpact,Business Analyst,1-2,5.9
EY,Operations Analyst,3-5,7.8
KPMG,Data Analyst,7+,11.6
IBM,Business Analyst,0-1,4.9
EY,Operations Analyst,5-7,8.8
HCL,Marketing Analyst,3-5,7.7
Cognizant,Financial Analyst,1-2,5.9
TCS,Financial Analyst,7+,12.6
Wipro,Financial Analyst,3-5,8.5
PwC,Marketing Analyst,3-5,7
KPMG,Marketing Analyst,1-2,4.8
Cognizant,Operations Analyst,3-5,6.5
Wipro,Financial Analyst,1-2,6.4
Capgemini,Data Analyst,5-7,10.5
Genpact,Operations Analyst,3-5,7.5
HCL,Business Analyst,1-2,6.6
Genpact,Operations Analyst,5-7,8.7
Cognizant,Financial Analyst,5-7,10.7
McKinsey,Marketing Analyst,3-5,7.1
KPMG,Business Analyst,5-7,11.5
HCL,Marketing Analyst,3-5,7.6
McKinsey,Business Analyst,7+,12.9
KPMG,Business Analyst,1-2,7.1
Infosys,Data Analyst,2-3,6.3
Cognizant,Marketing Analyst,5-7,9.3
TCS,Financial Analyst,1-2,5.6
Infosys,Financial Analyst,5-7,10.6
McKinsey,Operations Analyst,2-3,5.1
Genpact,Financial Analyst,1-2,5.1
PwC,Business Analyst,5-7,11.9
McKinsey,Marketing Analyst,7+,11.2
Capgemini,Financial Analyst,2-3,7.4
HCL,Business Analyst,0-1,5.4
EY,Business Analyst,3-5,8.4
Capgemini,Business Analyst,5-7,10.9
Infosys,Financial Analyst,3-5,8.5
Wipro,Data Analyst,7+,11.3
Accenture,Data Analyst,0-1,4.5
Deloitte,Marketing Analyst,2-3,6.1
Infosys,Business Analyst,0-1,5.4
EY,Financial Analyst,3-5,7.8
PwC,Data Analyst,1-2,6.3
EY,Financial Analyst,2-3,6.6
Genpact,Business Analyst,5-7,11.4
ZS Associates,Business Analyst,7+,12.2
Genpact,Marketing Analyst,2-3,6.5
Capgemini,Marketing Analyst,3-5,8.7
IBM,Data Analyst,1-2,4.8
PwC,Marketing Analyst,7+,11.9
PwC,Business Analyst,1-2,5.8
PwC,Financial Analyst,1-2,6.6
Cognizant,Financial Analyst,5-7,10.4
ZS Associates,Operations Analyst,3-5,7.1
KPMG,Data Analyst,5-7,9.8
HCL,Financial Analyst,7+,11.2
McKinsey,Financial Analyst,2-3,6.5
Wipro,Marketing Analyst,2-3,5.9
HCL,Data Analyst,2-3,6.4
HCL,Financial Analyst,3-5,8.3
Accenture,Financial Analyst,5-7,11.1
Genpact,Operations Analyst,7+,10.6
IBM,Financial Analyst,3-5,8
PwC,Operations Analyst,2-3,6.3
EY,Operations Analyst,7+,11.1
TCS,Financial Analyst,0-1,5.1
Capgemini,Operations Analyst,0-1,4
PwC,Financial Analyst,0-1,4.2
Wipro,Business Analyst,3-5,7.2
Genpact,Operations Analyst,5-7,8.6
ZS Associates,Data Analyst,5-7,9.9
IBM,Financial Analyst,1-2,5.6
IBM,Operations Analyst,5-7,8.4
Infosys,Data Analyst,3-5,8.5
IBM,Data Analyst,5-7,9.5
Capgemini,Marketing Analyst,3-5,7.3
EY,Marketing Analyst,7+,12.6
Wipro,Business Analyst,2-3,6.8
KPMG,Financial Analyst,3-5,8.6
Accenture,Financial Analyst,3-5,8.8
Deloitte,Operations Analyst,5-7,8.6
EY,Marketing Analyst,7+,11.6
Infosys,Marketing Analyst,2-3,5.5
Infosys,Business Analyst,7+,12.7
IBM,Marketing Analyst,5-7,8.8
IBM,Marketing Analyst,3-5,7.4
Genpact,Operations Analyst,3-5,7.2
Capgemini,Marketing Analyst,2-3,5.2
Wipro,Data Analyst,7+,12.6
TCS,Business Analyst,3-5,8.4
Infosys,Marketing Analyst,7+,12.1
TCS,Financial Analyst,7+,13.2
Accenture,Business Analyst,5-7,12.1
Deloitte,Data Analyst,3-5,7.9
Infosys,Business Analyst,1-2,6.5
ZS Associates,Financial Analyst,7+,11.8
HCL,Data Analyst,5-7,10.3
Capgemini,Operations Analyst,7+,10.2
ZS Associates,Marketing Analyst,2-3,6.9
Deloitte,Marketing Analyst,5-7,8.9
KPMG,Marketing Analyst,0-1,3.6
KPMG,Data Analyst,7+,11
TCS,Marketing Analyst,3-5,6.6
Wipro,Marketing Analyst,2-3,7.1
PwC,Marketing Analyst,2-3,6.7
Genpact,Business Analyst,3-5,7.6
Deloitte,Financial Analyst,1-2,6.3
Deloitte,Marketing Analyst,0-1,4.8
Accenture,Operations Analyst,1-2,4.4
Capgemini,Business Analyst,3-5,8.7
ZS Associates,Marketing Analyst,3-5,6.7
Cognizant,Operations Analyst,2-3,5.7
Capgemini,Marketing Analyst,1-2,5
HCL,Operations Analyst,0-1,3.6
McKinsey,Operations Analyst,5-7,9.9
HCL,Operations Analyst,5-7,8.8
HCL,Business Analyst,3-5,7.9
HCL,Operations Analyst,1-2,5.4
ZS Associates,Marketing Analyst,1-2,5.7
Infosys,Operations Analyst,0-1,4.1
McKinsey,Operations Analyst,0-1,3.6
Deloitte,Marketing Analyst,0-1,4.3
Accenture,Financial Analyst,1-2,5.4
EY,Financial Analyst,2-3,6.7
TCS,Marketing Analyst,1-2,5.1
PwC,Marketing Analyst,1-2,4.8
ZS Associates,Business Analyst,2-3,7.7
IBM,Business Analyst,5-7,10.3
Genpact,Marketing Analyst,5-7,8.2
TCS,Business Analyst,2-3,7.3
Deloitte,Financial Analyst,5-7,10.6
Genpact,Operations Analyst,3-5,7.3
Infosys,Data Analyst,5-7,9.3
TCS,Financial Analyst,1-2,6
Capgemini,Data Analyst,0-1,4.4
Accenture,Business Analyst,1-2,6.2
KPMG,Marketing Analyst,3-5,6.1
ZS Associates,Marketing Analyst,5-7,9.7
McKinsey,Data Analyst,3-5,7.8
EY,Marketing Analyst,5-7,8.5
ZS Associates,Operations Analyst,2-3,5.6
Genpact,Operations Analyst,1-2,5.1
EY,Marketing Analyst,1-2,5.6
HCL,Financial Analyst,7+,12.9
Cognizant,Business Analyst,0-1,5.3
Capgemini,Data Analyst,0-1,4.3
Deloitte,Marketing Analyst,1-2,5.4
KPMG,Data Analyst,5-7,10.6
Capgemini,Operations Analyst,3-5,7.2
Infosys,Marketing Analyst,3-5,7.4
TCS,Financial Analyst,0-1,4.5
PwC,Financial Analyst,1-2,5.5
Deloitte,Marketing Analyst,7+,11.4
KPMG,Business Analyst,5-7,10.6
Genpact,Marketing Analyst,5-7,9
Capgemini,Marketing Analyst,7+,11.9
Cognizant,Data Analyst,5-7,9.8
Accenture,Data Analyst,2-3,6.8
Deloitte,Operations Analyst,5-7,9
TCS,Marketing Analyst,1-2,5
Accenture,Marketing Analyst,7+,11.1
Deloitte,Financial Analyst,3-5,7.7
Deloitte,Operations Analyst,0-1,4.9
KPMG,Business Analyst,7+,12.8
KPMG,Operations Analyst,0-1,4
Capgemini,Marketing Analyst,3-5,7.3
Cognizant,Data Analyst,7+,11.4
Cognizant,Marketing Analyst,2-3,6.1
PwC,Business Analyst,7+,12.6
TCS,Marketing Analyst,2-3,6
KPMG,Financial Analyst,7+,12.2
Cognizant,Data Analyst,0-1,4.6
McKinsey,Business Analyst,2-3,7
Deloitte,Data Analyst,0-1,4.2
HCL,Operations Analyst,7+,10.2
ZS Associates,Business Analyst,5-7,11.1
HCL,Marketing Analyst,7+,10.5
Deloitte,Financial Analyst,2-3,7.5
IBM,Data Analyst,5-7,10.3
ZS Associates,Operations Analyst,7+,10.1
EY,Business Analyst,0-1,4.9
KPMG,Operations Analyst,3-5,7.1
McKinsey,Marketing Analyst,1-2,4.5
HCL,Financial Analyst,5-7,10.1
Cognizant,Financial Analyst,3-5,8.7
Wipro,Business Analyst,7+,12.7
EY,Business Analyst,3-5,8.4
Accenture,Data Analyst,5-7,9.7
TCS,Data Analyst,3-5,7.7
Capgemini,Operations Analyst,5-7,9.9
ZS Associates,Financial Analyst,1-2,5.1
KPMG,Business Analyst,0-1,5.1
ZS Associates,Data Analyst,5-7,10.7
Genpact,Marketing Analyst,7+,10.9
Infosys,Data Analyst,0-1,4
PwC,Marketing Analyst,3-5,7.8
PwC,Operations Analyst,0-1,4.4
Wipro,Financial Analyst,1-2,5.9
TCS,Marketing Analyst,1-2,5.1
ZS Associates,Financial Analyst,0-1,4.3
Cognizant,Data Analyst,7+,12.8
Genpact,Operations Analyst,7+,10.6
Deloitte,Data Analyst,1-2,5.8
PwC,Financial Analyst,5-7,10.9
TCS,Business Analyst,5-7,10.7
Accenture,Marketing Analyst,0-1,4.5
Accenture,Data Analyst,0-1,4.2
PwC,Marketing Analyst,3-5,7.6
Genpact,Business Analyst,0-1,5.7
ZS Associates,Marketing Analyst,5-7,8.3
Wipro,Data Analyst,3-5,8.2
Genpact,Marketing Analyst,0-1,4.7
PwC,Financial Analyst,3-5,9.2
Cognizant,Operations Analyst,3-5,6.8
Infosys,Operations Analyst,2-3,6.4
Capgemini,Marketing Analyst,1-2,4.6
Accenture,Financial Analyst,3-5,7.8
McKinsey,Operations Analyst,0-1,4.2
Accenture,Business Analyst,2-3,7.3
Genpact,Marketing Analyst,7+,11.9
Wipro,Financial Analyst,5-7,10.2
KPMG,Operations Analyst,7+,11.2
Capgemini,Operations Analyst,5-7,10
Deloitte,Financial Analyst,5-7,9.9
Deloitte,Operations Analyst,0-1,3.8
McKinsey,Business Analyst,0-1,5.2
Genpact,Financial Analyst,5-7,10.3
Genpact,Operations Analyst,7+,11.4
HCL,Operations Analyst,7+,10.8
PwC,Marketing Analyst,2-3,5.4
PwC,Data Analyst,0-1,5
IBM,Business Analyst,2-3,7.7
Accenture,Data Analyst,5-7,9.8
Genpact,Data Analyst,5-7,10
IBM,Business Analyst,1-2,5.4
EY,Business Analyst,3-5,8.9
TCS,Financial Analyst,1-2,5.8
ZS Associates,Financial Analyst,0-1,4
Capgemini,Business Analyst,0-1,4.9
Deloitte,Business Analyst,0-1,5.2
IBM,Financial Analyst,3-5,9.3
IBM,Marketing Analyst,2-3,6
TCS,Data Analyst,3-5,8.8
HCL,Financial Analyst,7+,11.9
Cognizant,Marketing Analyst,7+,10.7
McKinsey,Marketing Analyst,3-5,7.4
Genpact,Business Analyst,2-3,7.7
Deloitte,Data Analyst,7+,12.1
KPMG,Business Analyst,1-2,5.2
Wipro,Operations Analyst,0-1,4.5
ZS Associates,Business Analyst,0-1,6
Infosys,Data Analyst,1-2,5.6
Wipro,Financial Analyst,5-7,9.9
Capgemini,Data Analyst,2-3,6.8
PwC,Marketing Analyst,7+,11.7
ZS Associates,Financial Analyst,3-5,7.2
ZS Associates,Marketing Analyst,5-7,8.6
EY,Business Analyst,7+,13.1
McKinsey,Data Analyst,2-3,6.2
McKinsey,Operations Analyst,3-5,6.3
TCS,Financial Analyst,3-5,8.1
Wipro,Operations Analyst,2-3,5.8
Capgemini,Marketing Analyst,3-5,7.9
EY,Financial Analyst,1-2,4.9
Cognizant,Operations Analyst,1-2,4.9
KPMG,Business Analyst,0-1,5.5
McKinsey,Marketing Analyst,0-1,5
Capgemini,Data Analyst,3-5,7.7
PwC,Operations Analyst,5-7,8.6
McKinsey,Marketing Analyst,0-1,4.8
IBM,Business Analyst,0-1,5.5
Accenture,Data Analyst,7+,11.6
Deloitte,Business Analyst,7+,13.1
Capgemini,Business Analyst,5-7,11.2
TCS,Data Analyst,5-7,10.5
KPMG,Financial Analyst,5-7,11.1
PwC,Financial Analyst,3-5,8.2
ZS Associates,Data Analyst,5-7,10.4
Accenture,Data Analyst,0-1,4.1
Capgemini,Business Analyst,7+,14
Infosys,Marketing Analyst,0-1,3
Cognizant,Financial Analyst,5-7,11.2
HCL,Financial Analyst,1-2,5.9
Deloitte,Marketing Analyst,5-7,9.5
Genpact,Data Analyst,1-2,5.1
PwC,Data Analyst,7+,11.9
PwC,Data Analyst,7+,11.2
Accenture,Data Analyst,2-3,6.6
Infosys,Data Analyst,0-1,4.4
ZS Associates,Financial Analyst,7+,12.2
McKinsey,Data Analyst,5-7,9.6
Cognizant,Financial Analyst,2-3,7.8
IBM,Financial Analyst,2-3,6.5
PwC,Data Analyst,7+,13.3
EY,Operations Analyst,5-7,8.5
Capgemini,Business Analyst,7+,13
HCL,Data Analyst,2-3,6.3
KPMG,Business Analyst,3-5,8.5
KPMG,Marketing Analyst,7+,9.9
Cognizant,Data Analyst,5-7,8.6
Genpact,Financial Analyst,2-3,7.6
TCS,Business Analyst,2-3,7.1
McKinsey,Financial Analyst,5-7,9.9
TCS,Operations Analyst,1-2,5
Genpact,Financial Analyst,2-3,6.6
Wipro,Financial Analyst,5-7,10.7
PwC,Marketing Analyst,0-1,4.1
Infosys,Marketing Analyst,0-1,4.3
McKinsey,Data Analyst,1-2,5.8
Wipro,Operations Analyst,2-3,5.8
Deloitte,Marketing Analyst,2-3,5.6
KPMG,Operations Analyst,1-2,4.4
HCL,Operations Analyst,7+,10.7
TCS,Business Analyst,1-2,6.5
Infosys,Business Analyst,7+,12.9
Accenture,Data Analyst,5-7,9.9
McKinsey,Financial Analyst,5-7,9.8
HCL,Financial Analyst,7+,13.3
ZS Associates,Financial Analyst,7+,12.6
ZS Associates,Marketing Analyst,2-3,6.1
TCS,Marketing Analyst,0-1,4.8
Accenture,Marketing Analyst,2-3,6.1
EY,Business Analyst,5-7,10.7
Wipro,Financial Analyst,7+,11.9
Deloitte,Financial Analyst,3-5,8.8
Infosys,Financial Analyst,5-7,10.8
HCL,Operations Analyst,7+,11.1
McKinsey,Business Analyst,1-2,6
KPMG,Financial Analyst,1-2,5.5
TCS,Data Analyst,2-3,6.4
Accenture,Data Analyst,5-7,10.7
Genpact,Data Analyst,1-2,4.8
PwC,Business Analyst,3-5,9.2
Deloitte,Operations Analyst,3-5,6.6
Deloitte,Data Analyst,0-1,4.6
HCL,Marketing Analyst,0-1,4.6
Deloitte,Operations Analyst,0-1,5
Capgemini,Financial Analyst,0-1,5.4
Cognizant,Business Analyst,7+,13.2
McKinsey,Marketing Analyst,0-1,3.1
EY,Financial Analyst,0-1,4.5
McKinsey,Financial Analyst,7+,11.3
Capgemini,Financial Analyst,0-1,4.6
Accenture,Business Analyst,1-2,5.8
Wipro,Marketing Analyst,2-3,5.7
Cognizant,Marketing Analyst,7+,10.6
Cognizant,Data Analyst,2-3,6.1
Genpact,Operations Analyst,7+,10.4
EY,Data Analyst,5-7,9.9
ZS Associates,Data Analyst,3-5,7.6
McKinsey,Data Analyst,7+,12.7
EY,Marketing Analyst,1-2,5.9
EY,Marketing Analyst,7+,10.3
Genpact,Operations Analyst,2-3,5.3
Genpact,Financial Analyst,2-3,6.4
Cognizant,Operations Analyst,3-5,7.2
Infosys,Business Analyst,1-2,5.3
PwC,Data Analyst,1-2,6.6
Deloitte,Operations Analyst,5-7,8.5
IBM,Marketing Analyst,2-3,6.3
TCS,Data Analyst,5-7,10.4
Infosys,Business Analyst,1-2,6.1
Deloitte,Business Analyst,1-2,5.1
TCS,Operations Analyst,2-3,6
Wipro,Data Analyst,0-1,4.4
Wipro,Data Analyst,0-1,4.9
Accenture,Operations Analyst,2-3,6.2
ZS Associates,Marketing Analyst,5-7,8.9
Infosys,Operations Analyst,7+,9.9
KPMG,Financial Analyst,2-3,7.4
ZS Associates,Financial Analyst,5-7,11
KPMG,Business Analyst,5-7,10.4
HCL,Financial Analyst,5-7,10.5
Accenture,Data Analyst,3-5,7.9
Deloitte,Financial Analyst,1-2,6
PwC,Financial Analyst,3-5,8.3
Wipro,Marketing Analyst,0-1,4.8
McKinsey,Financial Analyst,0-1,4.7
McKinsey,Operations Analyst,5-7,8.7
EY,Business Analyst,2-3,7.9
ZS Associates,Financial Analyst,0-1,4.3
Capgemini,Operations Analyst,3-5,7.2
Cognizant,Data Analyst,1-2,4.8
PwC,Business Analyst,1-2,6.4
Genpact,Financial Analyst,5-7,10.8
Accenture,Data Analyst,7+,12.1
Genpact,Marketing Analyst,2-3,6.7
Capgemini,Business Analyst,0-1,5.2
McKinsey,Marketing Analyst,5-7,8.6
PwC,Operations Analyst,3-5,6.8
Infosys,Financial Analyst,7+,13
KPMG,Financial Analyst,7+,12
Accenture,Marketing Analyst,7+,11.9
IBM,Business Analyst,2-3,7.8
Capgemini,Operations Analyst,0-1,3.8
EY,Business Analyst,3-5,7.5
PwC,Operations Analyst,2-3,5.5
ZS Associates,Business Analyst,2-3,6.9
Genpact,Operations Analyst,2-3,5.5
Cognizant,Operations Analyst,0-1,3.3
ZS Associates,Financial Analyst,5-7,10
Genpact,Data Analyst,7+,12.2
McKinsey,Operations Analyst,5-7,8.3
Cognizant,Data Analyst,0-1,4.5
Deloitte,Data Analyst,7+,11.9
Deloitte,Marketing Analyst,5-7,9
Accenture,Business Analyst,3-5,8.2
HCL,Business Analyst,1-2,6.4
ZS Associates,Business Analyst,2-3,7.6
Capgemini,Data Analyst,0-1,4.4
ZS Associates,Operations Analyst,1-2,4.7
EY,Marketing Analyst,2-3,6.4
Infosys,Marketing Analyst,2-3,7.2
Wipro,Operations Analyst,7+,10.3
IBM,Financial Analyst,7+,12.8
HCL,Data Analyst,5-7,9.9
Accenture,Financial Analyst,2-3,7.2
ZS Associates,Financial Analyst,1-2,5.5
ZS Associates,Data Analyst,0-1,4.5
Deloitte,Business Analyst,7+,13.1
TCS,Business Analyst,3-5,8.6
KPMG,Operations Analyst,5-7,8.5
HCL,Business Analyst,7+,12.8
EY,Financial Analyst,5-7,11
Deloitte,Operations Analyst,1-2,4.1
Wipro,Operations Analyst,2-3,5.3
HCL,Operations Analyst,3-5,7
Wipro,Financial Analyst,1-2,5.9
KPMG,Operations Analyst,5-7,9.6
Deloitte,Marketing Analyst,3-5,7.8
Deloitte,Financial Analyst,5-7,10.4
Cognizant,Data Analyst,3-5,7.3
EY,Operations Analyst,3-5,7.4
Genpact,Data Analyst,0-1,4.7
McKinsey,Operations Analyst,1-2,4.7
Infosys,Data Analyst,7+,12
Genpact,Operations Analyst,3-5,6.5
Cognizant,Financial Analyst,2-3,6.8
Genpact,Financial Analyst,2-3,6.1
Genpact,Business Analyst,5-7,10.8
TCS,Marketing Analyst,7+,11.4
HCL,Data Analyst,1-2,5.5
PwC,Marketing Analyst,0-1,4.4
Infosys,Business Analyst,2-3,7.9
EY,Business Analyst,2-3,7.3
HCL,Operations Analyst,0-1,3
Wipro,Marketing Analyst,1-2,5.2
Infosys,Business Analyst,5-7,10.9
McKinsey,Operations Analyst,2-3,6.1
Cognizant,Business Analyst,2-3,7.4
Genpact,Operations Analyst,0-1,4.6
Wipro,Marketing Analyst,5-7,9
Capgemini,Business Analyst,3-5,8.6
EY,Operations Analyst,3-5,7.6
Cognizant,Data Analyst,0-1,3.7
Wipro,Business Analyst,1-2,5.9
PwC,Business Analyst,1-2,6.4
Accenture,Financial Analyst,2-3,6.6
TCS,Marketing Analyst,5-7,8.8
HCL,Data Analyst,3-5,7.9
ZS Associates,Business Analyst,1-2,6.3
Deloitte,Financial Analyst,7+,12.6
ZS Associates,Business Analyst,1-2,6
Capgemini,Business Analyst,3-5,8.2
Infosys,Financial Analyst,3-5,7.7
EY,Financial Analyst,0-1,5.4
McKinsey,Financial Analyst,2-3,6.3
Accenture,Financial Analyst,5-7,10.9
Wipro,Data Analyst,5-7,9.3
Capgemini,Marketing Analyst,1-2,4.8
EY,Operations Analyst,2-3,5.2
ZS Associates,Financial Analyst,7+,13.2
EY,Marketing Analyst,5-7,9.5
Capgemini,Financial Analyst,5-7,10.7
PwC,Marketing Analyst,1-2,4.8
TCS,Data Analyst,2-3,6.1
KPMG,Business Analyst,2-3,6.6
KPMG,Financial Analyst,0-1,5.2
EY,Business Analyst,0-1,4.8
Accenture,Operations Analyst,7+,10.6
ZS Associates,Operations Analyst,7+,10.4
Wipro,Business Analyst,1-2,6.4
Wipro,Financial Analyst,3-5,8.1
TCS,Operations Analyst,5-7,9
KPMG,Data Analyst,5-7,10.2
ZS Associates,Financial Analyst,1-2,6.3
TCS,Financial Analyst,7+,12.5
Genpact,Business Analyst,5-7,11.3
TCS,Business Analyst,0-1,4.5
HCL,Financial Analyst,0-1,4.7
Wipro,Business Analyst,5-7,10.5
ZS Associates,Data Analyst,1-2,5.8
TCS,Marketing Analyst,7+,10
HCL,Financial Analyst,1-2,6.3
IBM,Data Analyst,1-2,5
McKinsey,Business Analyst,7+,13.4
McKinsey,Financial Analyst,5-7,11
Cognizant,Financial Analyst,5-7,11.1
Genpact,Financial Analyst,2-3,6.4
KPMG,Operations Analyst,1-2,4.9
McKinsey,Business Analyst,3-5,8.5
Infosys,Financial Analyst,1-2,4.7
Capgemini,Data Analyst,3-5,7.8
Genpact,Data Analyst,3-5,8.3
KPMG,Business Analyst,3-5,8.8
TCS,Financial Analyst,3-5,7.2
Deloitte,Data Analyst,0-1,4.2
Infosys,Financial Analyst,5-7,11.1
Genpact,Business Analyst,2-3,6.6
ZS Associates,Business Analyst,5-7,10.6
Infosys,Operations Analyst,5-7,8.5
Wipro,Business Analyst,1-2,5.9
Genpact,Marketing Analyst,1-2,5
Accenture,Business Analyst,0-1,4.3
KPMG,Marketing Analyst,1-2,4.7
Capgemini,Marketing Analyst,1-2,4.9
TCS,Marketing Analyst,1-2,4.7
PwC,Marketing Analyst,3-5,8
EY,Business Analyst,0-1,5.5
Capgemini,Business Analyst,3-5,7.9
EY,Marketing Analyst,7+,11.4
Capgemini,Operations Analyst,7+,10.7
McKinsey,Financial Analyst,5-7,10.9
IBM,Marketing Analyst,5-7,9.1
Infosys,Data Analyst,3-5,8.8
Infosys,Data Analyst,3-5,8.4
PwC,Operations Analyst,1-2,5.3
IBM,Financial Analyst,0-1,4.4
IBM,Operations Analyst,1-2,4
TCS,Marketing Analyst,0-1,4
IBM,Data Analyst,3-5,7.2
HCL,Business Analyst,3-5,9.4
TCS,Marketing Analyst,0-1,5.2
Genpact,Operations Analyst,7+,10.5
TCS,Data Analyst,2-3,6.1
PwC,Business Analyst,5-7,12
Deloitte,Operations Analyst,5-7,7.9
EY,Marketing Analyst,0-1,4.9
EY,Business Analyst,0-1,5.2
Capgemini,Operations Analyst,3-5,6.6
Deloitte,Operations Analyst,2-3,5.6
Deloitte,Business Analyst,0-1,4.3
Capgemini,Marketing Analyst,5-7,8.9
Cognizant,Financial Analyst,3-5,8.1
HCL,Business Analyst,3-5,8.9
PwC,Data Analyst,7+,11.7
ZS Associates,Data Analyst,7+,12.1
Capgemini,Marketing Analyst,5-7,8.6
Infosys,Operations Analyst,7+,9.6
Cognizant,Operations Analyst,5-7,7.9
Genpact,Data Analyst,7+,12.1
EY,Data Analyst,1-2,5.5
Deloitte,Marketing Analyst,7+,10.6
Wipro,Data Analyst,3-5,8.5
TCS,Data Analyst,3-5,8.7
IBM,Business Analyst,2-3,7
EY,Data Analyst,7+,11.3
ZS Associates,Operations Analyst,0-1,3.6
Deloitte,Business Analyst,1-2,6
